cod_mun_7	cod_mun_6	cod_uf	nom_uf	nom_mun	regiao	cod_meso	nome_meso	cod_micro	nome_micro
1100015	110001	11	RO	Alta Floresta D'Oeste	Norte	1102	Leste Rondoniense	11006	Cacoal
1100023	110002	11	RO	Ariquemes	Norte	1102	Leste Rondoniense	11003	Ariquemes
1100031	110003	11	RO	Cabixi	Norte	1102	Leste Rondoniense	11008	Colorado do Oeste
1100049	110004	11	RO	Cacoal	Norte	1102	Leste Rondoniense	11006	Cacoal
1100056	110005	11	RO	Cerejeiras	Norte	1102	Leste Rondoniense	11008	Colorado do Oeste
1100064	110006	11	RO	Colorado do Oeste	Norte	1102	Leste Rondoniense	11008	Colorado do Oeste
1100072	110007	11	RO	Corumbiara	Norte	1102	Leste Rondoniense	11008	Colorado do Oeste
1100080	110008	11	RO	Costa Marques	Norte	1101	Madeira-Guaporé	11002	Guajará-Mirim
1100098	110009	11	RO	Espigão D'Oeste	Norte	1102	Leste Rondoniense	11006	Cacoal
1100106	110010	11	RO	Guajará-Mirim	Norte	1101	Madeira-Guaporé	11002	Guajará-Mirim
1100114	110011	11	RO	Jaru	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1100122	110012	11	RO	Ji-Paraná	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1100130	110013	11	RO	Machadinho D'Oeste	Norte	1102	Leste Rondoniense	11003	Ariquemes
1100148	110014	11	RO	Nova Brasilândia D'Oeste	Norte	1102	Leste Rondoniense	11005	Alvorada D'Oeste
1100155	110015	11	RO	Ouro Preto do Oeste	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1100189	110018	11	RO	Pimenta Bueno	Norte	1102	Leste Rondoniense	11007	Vilhena
1100205	110020	11	RO	Porto Velho	Norte	1101	Madeira-Guaporé	11001	Porto Velho
1100254	110025	11	RO	Presidente Médici	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1100262	110026	11	RO	Rio Crespo	Norte	1102	Leste Rondoniense	11003	Ariquemes
1100288	110028	11	RO	Rolim de Moura	Norte	1102	Leste Rondoniense	11006	Cacoal
1100296	110029	11	RO	Santa Luzia D'Oeste	Norte	1102	Leste Rondoniense	11006	Cacoal
1100304	110030	11	RO	Vilhena	Norte	1102	Leste Rondoniense	11007	Vilhena
1100320	110032	11	RO	São Miguel do Guaporé	Norte	1102	Leste Rondoniense	11005	Alvorada D'Oeste
1100338	110033	11	RO	Nova Mamoré	Norte	1101	Madeira-Guaporé	11001	Porto Velho
1100346	110034	11	RO	Alvorada D'Oeste	Norte	1102	Leste Rondoniense	11005	Alvorada D'Oeste
1100379	110037	11	RO	Alto Alegre dos Parecis	Norte	1102	Leste Rondoniense	11006	Cacoal
1100403	110040	11	RO	Alto Paraíso	Norte	1102	Leste Rondoniense	11003	Ariquemes
1100452	110045	11	RO	Buritis	Norte	1101	Madeira-Guaporé	11001	Porto Velho
1100502	110050	11	RO	Novo Horizonte do Oeste	Norte	1102	Leste Rondoniense	11006	Cacoal
1100601	110060	11	RO	Cacaulândia	Norte	1102	Leste Rondoniense	11003	Ariquemes
1100700	110070	11	RO	Campo Novo de Rondônia	Norte	1101	Madeira-Guaporé	11001	Porto Velho
1100809	110080	11	RO	Candeias do Jamari	Norte	1101	Madeira-Guaporé	11001	Porto Velho
1100908	110090	11	RO	Castanheiras	Norte	1102	Leste Rondoniense	11006	Cacoal
1100924	110092	11	RO	Chupinguaia	Norte	1102	Leste Rondoniense	11007	Vilhena
1100940	110094	11	RO	Cujubim	Norte	1101	Madeira-Guaporé	11001	Porto Velho
1101005	110100	11	RO	Governador Jorge Teixeira	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1101104	110110	11	RO	Itapuã do Oeste	Norte	1101	Madeira-Guaporé	11001	Porto Velho
1101203	110120	11	RO	Ministro Andreazza	Norte	1102	Leste Rondoniense	11006	Cacoal
1101302	110130	11	RO	Mirante da Serra	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1101401	110140	11	RO	Monte Negro	Norte	1102	Leste Rondoniense	11003	Ariquemes
1101435	110143	11	RO	Nova União	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1101450	110145	11	RO	Parecis	Norte	1102	Leste Rondoniense	11007	Vilhena
1101468	110146	11	RO	Pimenteiras do Oeste	Norte	1102	Leste Rondoniense	11008	Colorado do Oeste
1101476	110147	11	RO	Primavera de Rondônia	Norte	1102	Leste Rondoniense	11007	Vilhena
1101484	110148	11	RO	São Felipe D'Oeste	Norte	1102	Leste Rondoniense	11007	Vilhena
1101492	110149	11	RO	São Francisco do Guaporé	Norte	1101	Madeira-Guaporé	11002	Guajará-Mirim
1101500	110150	11	RO	Seringueiras	Norte	1102	Leste Rondoniense	11005	Alvorada D'Oeste
1101559	110155	11	RO	Teixeirópolis	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1101609	110160	11	RO	Theobroma	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1101708	110170	11	RO	Urupá	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1101757	110175	11	RO	Vale do Anari	Norte	1102	Leste Rondoniense	11003	Ariquemes
1101807	110180	11	RO	Vale do Paraíso	Norte	1102	Leste Rondoniense	11004	Ji-Paraná
1200013	120001	12	AC	Acrelândia	Norte	1202	Vale do Acre	12004	Rio Branco
1200054	120005	12	AC	Assis Brasil	Norte	1202	Vale do Acre	12005	Brasiléia
1200104	120010	12	AC	Brasiléia	Norte	1202	Vale do Acre	12005	Brasiléia
1200138	120013	12	AC	Bujari	Norte	1202	Vale do Acre	12004	Rio Branco
1200179	120017	12	AC	Capixaba	Norte	1202	Vale do Acre	12004	Rio Branco
1200203	120020	12	AC	Cruzeiro do Sul	Norte	1201	Vale do Juruá	12001	Cruzeiro do Sul
1200252	120025	12	AC	Epitaciolândia	Norte	1202	Vale do Acre	12005	Brasiléia
1200302	120030	12	AC	Feijó	Norte	1201	Vale do Juruá	12002	Tarauacá
1200328	120032	12	AC	Jordão	Norte	1201	Vale do Juruá	12002	Tarauacá
1200336	120033	12	AC	Mâncio Lima	Norte	1201	Vale do Juruá	12001	Cruzeiro do Sul
1200344	120034	12	AC	Manoel Urbano	Norte	1202	Vale do Acre	12003	Sena Madureira
1200351	120035	12	AC	Marechal Thaumaturgo	Norte	1201	Vale do Juruá	12001	Cruzeiro do Sul
1200385	120038	12	AC	Plácido de Castro	Norte	1202	Vale do Acre	12004	Rio Branco
1200393	120039	12	AC	Porto Walter	Norte	1201	Vale do Juruá	12001	Cruzeiro do Sul
1200401	120040	12	AC	Rio Branco	Norte	1202	Vale do Acre	12004	Rio Branco
1200427	120042	12	AC	Rodrigues Alves	Norte	1201	Vale do Juruá	12001	Cruzeiro do Sul
1200435	120043	12	AC	Santa Rosa do Purus	Norte	1202	Vale do Acre	12003	Sena Madureira
1200450	120045	12	AC	Senador Guiomard	Norte	1202	Vale do Acre	12004	Rio Branco
1200500	120050	12	AC	Sena Madureira	Norte	1202	Vale do Acre	12003	Sena Madureira
1200609	120060	12	AC	Tarauacá	Norte	1201	Vale do Juruá	12002	Tarauacá
1200708	120070	12	AC	Xapuri	Norte	1202	Vale do Acre	12005	Brasiléia
1200807	120080	12	AC	Porto Acre	Norte	1202	Vale do Acre	12004	Rio Branco
