cod_mun_7	cod_mun	nome_municipio	pop_ibge_2011	pop_ibge_2012	pop_ibge_2013	pop_ibge_2014	pop_ibge_2015	pop_ibge_2016	pop_ibge_2017	pop_ibge_2018	pop_ibge_2019	pop_ibge_2020
1100015	110001	Alta Floresta D'Oeste	24228	24069	25728	25652	25578	25506	25437	23167	22945	22728
1100023	110002	Ariquemes	91570	92747	101269	102860	104401	105896	107345	106168	107863	109523
1100031	110003	Cabixi	6221	6132	6495	6424	6355	6289	6224	5438	5312	5188
1100049	110004	Cacoal	78958	79330	85863	86556	87226	87877	88507	84813	85359	85893
1100056	110005	Cerejeiras	16939	16852	18041	18013	17986	17959	17934	16444	16323	16204
1100064	110006	Colorado do Oeste	18338	18093	19190	19001	18817	18639	18467	16227	15882	15544
1100072	110007	Corumbiara	8654	8530	9036	8938	8842	8749	8659	7567	7391	7220
1100080	110008	Costa Marques	14022	14355	15853	16258	16651	17031	17400	17855	18331	18798
1100098	110009	Espigão D'Oeste	28962	29189	31699	32047	32385	32712	33030	32047	32374	32695
1100106	110010	Guajará-Mirim	41933	42202	45761	46203	46632	47048	47451	45783	46174	46556
1100114	110011	Jaru	51883	51765	55597	55669	55738	55806	55871	51933	51775	51620
1100122	110012	Ji-Paraná	117363	118092	128026	129242	130419	131560	132667	127907	128969	130009
1100130	110013	Machadinho D'Oeste	31779	32403	35633	36412	37167	37899	38609	39097	39991	40867
1100148	110014	Nova Brasilândia D'Oeste	19882	19891	21427	21511	21592	21670	21747	20459	20474	20489
1100155	110015	Ouro Preto do Oeste	37701	37482	40099	40010	39924	39840	39759	36340	36035	35737
1100189	110018	Pimenta Bueno	33981	34135	36939	37230	37512	37786	38051	36434	36660	36881
1100205	110020	Porto Velho	435732	442701	484992	494013	502748	511219	519436	519531	529544	539354
1100254	110025	Presidente Médici	22008	21709	23017	22783	22557	22337	22124	19409	18986	18571
1100262	110026	Rio Crespo	3345	3374	3666	3709	3750	3790	3829	3723	3764	3804
1100288	110028	Rolim de Moura	50899	51142	55357	55807	56242	56664	57074	54702	55058	55407
1100296	110029	Santa Luzia D'Oeste	8677	8476	8887	8706	8532	8362	8198	6781	6495	6216
1100304	110030	Vilhena	77937	79616	87727	89797	91801	93745	95630	97448	99854	102211
1100320	110032	São Miguel do Guaporé	21878	21927	23668	23803	23933	24059	24181	22931	23005	23077
1100338	110033	Nova Mamoré	23142	23719	26227	26925	27600	28255	28891	29757	30583	31392
1100346	110034	Alvorada D'Oeste	16624	16404	17399	17228	17063	16902	16747	14722	14411	14106
1100379	110037	Alto Alegre dos Parecis	12824	12833	13827	13884	13940	13993	14045	13227	13241	13255
