uf	cod_mun	nom_mun	pop_est
MG	3166600	Serra da Saudade	771
SP	3507209	Borá	839
MT	5101209	Araguainha	909
RS	4306924	Engenho Velho	932
RS	4322350	União da Serra	1084
TO	1715507	Oliveira de Fátima	1124
SP	3555901	Uru	1142
MG	3115607	Cedro do Abaeté	1150
GO	5201207	Anhanguera	1171
SC	4215695	Santiago do Sul	1211
PI	2206308	Miguel Leão	1239
RS	4315073	Porto Vera Cruz	1258
SP	3532868	Nova Castilho	1290
PR	4112603	Jardim Olinda	1309
GO	5220058	São João da Paraúna	1312
RS	4304853	Carlos Gomes	1327
GO	5204201	Cachoeira de Goiás	1336
RS	4300661	André da Rocha	1351
MG	3127909	Grupiara	1386
SP	3515806	Flora Rica	1397
SC	4209458	Lajeado Grande	1408
TO	1704600	Chapada de Areia	1415
MG	3165800	Senador José Bento	1422
PR	4100459	Altamira do Paraná	1429
RS	4312351	Montauri	1430
SC	4211876	Paial	1444
RS	4322186	Tupanci do Sul	1447
SP	3547205	Santana da Ponte Pensa	1448
GO	5213400	Moiporá	1471
MG	3164803	São Sebastião do Rio Preto	1478
RS	4309258	Guabiju	1478
RS	4305835	Coqueiro Baixo	1490
RS	4314787	Ponte Preta	1501
MG	3146602	Paiva	1517
SC	4208955	Jardinópolis	1520
MT	5106703	Ponte Branca	1525
SC	4213906	Presidente Castello Branco	1526
GO	5204953	Campos Verdes	1526
MG	3123403	Doresópolis	1539
RS	4323606	Vista Alegre do Prata	1553
SP	3547650	Santa Salete	1558
PR	4116505	Nova Aliança do Ivaí	1560
PR	4123600	Santa Inês	1568
SC	4205357	Flor do Sertão	1575
MG	3103108	Antônio Prado de Minas	1577
RS	4315131	Pouso Novo	1586
RS	4300554	Alto Alegre	1590
RS	4305934	Coronel Pilar	1602
RS	4311270	Lagoa dos Três Cantos	1604
SC	4217956	Tigrinhos	1606
TO	1720150	São Félix do Tocantins	1610
RS	4312179	Mato Queimado	1611
MG	3147501	Passabém	1619
RS	4308854	Gentil	1619
RS	4301925	Barra do Rio Azul	1621
SC	4202099	Barra Bonita	1625
RS	4304622	Capão Bonito do Sul	1628
RS	4316733	Santa Cecília do Sul	1630
PR	4107520	Esperança Nova	1633
GO	5212253	Lagoa Santa	1652
SP	3555307	Turmalina	1667
RS	4312674	Nicolau Vergueiro	1667
GO	5209457	Guarinos	1681
RS	4304614	Canudos do Vale	1693
MG	3145406	Olaria	1694
SC	4210555	Marema	1703
RS	4313466	Novo Xingu	1705
MT	5107883	Serra Nova Dourada	1705
RS	4308250	Floriano Peixoto	1709
RS	4317251	Santa Tereza	1722
RS	4311643	Linha Nova	1724
RN	2414902	Viçosa	1731
RS	4312955	Nova Boa Vista	1731
SP	3515657	Fernão	1739
RN	2413607	Severiano Melo	1743
PB	2510659	Parari	1747
TO	1706258	Crixás do Tocantins	1749
SP	3554755	Trabiju	1752
AM	1302108	Japurá	1755
SP	3503356	Arco-Íris	1755
MG	3160504	Santo Antônio do Rio Abaixo	1756
SC	4210050	Macieira	1757
RS	4306130	Cruzaltense	1765
RS	4322855	Vespasiano Corrêa	1776
MG	3118502	Consolação	1786
PR	4116000	Miraselva	1786
SC	4217154	São Miguel da Boa Vista	1794
MG	3149408	Pedro Teixeira	1804
SP	3513850	Dirce Reis	1805
GO	5200209	Água Limpa	1809
SP	3503950	Aspásia	1815
PB	2514651	São José do Brejo do Cruz	1821
SP	3532843	Nova Canaã Paulista	1824
SP	3536570	Paulistânia	1835
SP	3556958	Vitória Brasil	1852
RS	4310751	Ivorá	1854
MG	3166402	Seritinga	1857
RS	4302378	Bom Progresso	1858
RS	4315313	Quatro Irmãos	1860
